image_path,Detection,Has animal,Localization
7be7176a-4057-b2d6-c2c3-78c5e1cf0351.jpg,1,true,"tensor([[146.1844,  77.6567, 439.2944, 337.6096]], device='cuda:0')"
37e3b667-febf-d30e-de05-628402acdc9b.jpg,1,true,"tensor([[142.9590,  92.5059, 530.8239, 425.5637]], device='cuda:0')"
d755bb35-450b-3f97-f973-42f1ec9a6845.jpg,2,true,"tensor([[428.8239, 184.6760, 574.6242, 294.9636],
        [223.6964, 185.2353, 418.7379, 308.3864]], device='cuda:0')"
bb5c3e95-e27f-de3e-3c0c-56f101dd297b.jpg,1,true,"tensor([[170.4921, 149.5863, 455.1693, 319.0412]], device='cuda:0')"
29146e59-3876-62f1-f697-9ab0c584d0ea.jpg,1,true,"tensor([[143.3437,  70.3316, 570.8600, 306.5934]], device='cuda:0')"
044087c2-e79b-e6bb-6be7-99a8ce670b65.jpg,1,true,"tensor([[244.9113, 121.2439, 366.7274, 334.7110]], device='cuda:0')"
61ce57e8-1a33-8960-4eac-042b7e3a4c06.jpg,1,true,"tensor([[177.6793, 143.5079, 433.2866, 268.9582]], device='cuda:0')"
312bebc9-924b-d07e-0904-bb26f73b3ac0.jpg,1,true,"tensor([[160.0529,  58.5141, 295.7219, 359.1774]], device='cuda:0')"
f6c5e991-3896-bbf3-9613-76c2adec4439.jpg,8,true,"tensor([[430.3005, 214.8632, 553.6066, 294.4800],
        [217.7448, 214.5314, 288.2171, 273.7516],
        [521.0613, 240.5117, 573.9124, 294.5657],
        [286.7744, 210.5832, 353.8959, 266.7770],
        [160.4601, 212.3302, 223.4399, 268.5645],
        [116.5394, 211.2183, 158.1868, 246.8984],
        [350.9153, 207.8259, 404.2868, 282.3364],
        [385.2758, 217.2469, 490.3911, 285.7222]], device='cuda:0')"
bda78705-0767-95e7-4d8c-085a4faee6b0.jpg,3,true,"tensor([[551.6338, 255.6256, 575.2911, 350.7291],
        [ 82.3092,  58.1076, 178.8879, 146.6844],
        [267.4153, 119.2362, 496.0089, 343.0951]], device='cuda:0')"
a3ca35e0-ba02-679d-ad64-8cc46ad37ab6.jpg,2,true,"tensor([[418.0234, 228.2984, 460.9402, 274.9635],
        [194.7350, 232.0925, 240.3615, 279.7149]], device='cuda:0')"
cfdd7af2-d681-a906-0493-d394c91afd1d.jpg,2,true,"tensor([[ 83.5286,  74.5051, 387.5812, 359.0463],
        [123.4577, 108.5104, 518.0347, 384.1932]], device='cuda:0')"
14ef222e-2891-af57-cba1-e86514a0e004.jpg,1,true,"tensor([[ 82.4110, 144.6248, 434.1056, 392.9694]], device='cuda:0')"
fb3eb025-4f70-e900-3e44-7770503631e9.jpg,1,true,"tensor([[215.7588,  95.0462, 418.1918, 425.7620]], device='cuda:0')"
207bb430-2059-8b8b-416b-0348040b0bd1.jpg,1,true,"tensor([[274.3070,  58.6112, 445.2305, 232.4077]], device='cuda:0')"
