image_path,Detection,Species category,Localization
ae866980-d1ff-3b92-3b70-3dd14c23eab9_5121.jpg,0,other,"tensor([], device='cuda:0', size=(0, 4))"
6b9cd27b-08a5-e139-649b-717daef0f224_5931.jpg,1,zebra_plains,"tensor([[  19.4937,   15.2962, 3297.9956, 2143.5962]], device='cuda:0')"
492b7578-d848-c99e-f59d-29a4d3ccaa57_1480.jpg,0,other,"tensor([], device='cuda:0', size=(0, 4))"
d7dcce6e-7712-d1f0-1fe9-b479294660ac_324.jpg,2,zebra_plains,"tensor([[1736.8135,  274.2006, 2338.9395, 1570.4518],
        [ -20.0656,    2.9402, 1453.3885, 1585.9808]], device='cuda:0')"
2b155e14-3603-501c-51f4-d57b1e5078f7_4131.jpg,4,zebra_plains,"tensor([[331.0255,  18.4693, 588.1003, 161.5066],
        [ -4.9470, 103.2832, 228.3044, 161.7926],
        [  8.7024,  10.2150, 586.8165, 161.7378],
        [  4.0516,  13.7150, 486.2244, 159.9315]], device='cuda:0')"
a87589af-a463-9423-e6a9-4c42f5f6290e_939.jpg,0,other,"tensor([], device='cuda:0', size=(0, 4))"
a1ae0f75-03de-53c6-804e-b029f62f3096_3900.jpg,0,other,"tensor([], device='cuda:0', size=(0, 4))"
5f72fdfa-9947-70d8-fccc-8cea350c7bb6_3995.jpg,3,zebra_plains,"tensor([[  -9.4488,   94.5402,  440.9976,  985.2471],
        [  16.1931,   60.0707, 1423.2430, 1940.9198],
        [ -10.9065,   87.0474,  838.5443, 1544.4518]], device='cuda:0')"
dfb08b10-8ea0-ae8e-ec8d-d0d782839646_522.jpg,2,zebra_plains,"tensor([[ 6.3245e-01,  5.0038e+01,  1.3645e+02,  5.3751e+02],
        [-4.9563e-01,  2.0160e+01,  1.5239e+03,  8.1516e+02]], device='cuda:0')"
c21633b3-9fcf-474e-e405-6a62b8e9a105_3320.jpg,1,zebra_plains,"tensor([[-5.1868e+00,  4.7727e-01,  7.7396e+02,  1.4178e+03]], device='cuda:0')"
37aee23e-cc7a-1cd9-a207-7e1d2d51b842_3924.jpg,1,zebra_plains,"tensor([[ -1.2017,  10.3350, 131.7102, 182.7482]], device='cuda:0')"
5d1f3f46-ceca-201b-d3a5-c27c4c934428_871.jpg,0,other,"tensor([], device='cuda:0', size=(0, 4))"
79890d27-31e1-e252-9a51-00d3065510a7_88.jpg,2,zebra_plains,"tensor([[ -2.3640,  57.7467, 300.2502, 688.7186],
        [ 17.6719,  12.5790, 740.5916, 704.6991]], device='cuda:0')"
0e49bc5e-4fac-03e6-551d-5d4f78ea83d4_4462.jpg,0,other,"tensor([], device='cuda:0', size=(0, 4))"
